Entity,Code,Year,Oil consumption - TWh,Country name,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years,Oil consumption per capita - TWh,Cluster
Spain,ESP,1969,288.38123,Spain,33480508,646732,3258249,9324655,14485953,20982608,24155296,22548182,647956,2611517,3165064,2901342,2634933,4672587,4552527,4310044,3325916,2721939,1435185,458893,43273,557,8.61E-06,0
Sri Lanka,LKA,1969,10.303508,Sri Lanka,12119211,365459,1767874,4874821,7228949,6751117,7244270,6464565,360199,1402415,1640322,1466625,1259153,1973958,1386468,1101148,762382,466898,216774,68990,8499,120,8.50E-07,4
Sweden,SWE,1969,313.51505,Sweden,7983538,109593,594714,1668017,2899482,5240928,6315404,5987687,117070,485121,541581,531722,562470,1242319,918202,1033132,1018197,855529,504023,166991,14541,117,3.93E-05,5
Switzerland,CHE,1969,133.68282,Switzerland,6136805,99157,513731,1461621,2432449,3990429,4675135,4405502,100968,414574,494934,452956,458365,999418,835686,747718,640356,568142,319493,98183,7774,49,2.18E-05,3
Taiwan,TWN,1969,51.549316,Taiwan,14617243,426810,2155063,6206028,9020930,8038345,8411165,7367708,427159,1728253,2101950,1949015,1641698,2186771,1735813,1317719,890630,447768,158760,30431,1575,50,3.53E-06,4
Thailand,THA,1969,51.799706,Thailand,34787584,1269297,6007260,15637382,22112636,18108674,19149408,16863576,1223775,4737963,5222509,4407613,3648977,5270309,4146619,2726012,1713112,1037010,452326,136130,18914,792,1.49E-06,4
Trinidad and Tobago,TTO,1969,24.918285,Trinidad and Tobago,978647,25451,132893,408179,602938,529174,570452,501414,25521,107442,146453,128833,110073,148071,98673,84222,64725,41005,16999,5682,1002,16,2.55E-05,1
Turkey,TUR,1969,78.658714,Turkey,34721988,1378701,5962824,14992645,21299776,18131952,19729072,17521948,1273016,4584123,4920661,4109160,3515436,5108004,3869526,2842637,2002200,1427495,709917,218253,35605,270,2.27E-06,4
United Arab Emirates,ARE,1969,1.216425,United Arab Emirates,253270,8252,35262,85649,144736,163696,167621,152266,7314,27010,28474,21913,27196,60882,42145,21329,9785,4257,1712,297,18,0,4.80E-06,0
United Kingdom,GBR,1969,1160.3401,United Kingdom,55420524,915855,4710899,13310208,21404236,34991816,42109164,39799240,929843,3795044,4576163,4023146,3885667,7670802,6527965,7118179,6596177,5842879,3235318,1120615,111563,1150,2.09E-05,3
United States,USA,1969,7831.838,United States,197859330,3338179,17064390,56955004,90210930,121635050,140897890,129383624,3301521,13726211,19768364,20122250,18077632,27994672,22983964,23922120,20373332,14952969,9095657,3161105,336431,6443,3.96E-05,5
Venezuela,VEN,1969,120.897606,Venezuela,11011332,400483,1898994,5073734,7188220,5655884,5937579,5190057,387353,1498511,1694882,1479858,1184997,1682311,1190757,860765,555156,306764,126311,28957,1561,19,1.10E-05,6
Vietnam,VNM,1969,71.083626,Vietnam,41015868,1343891,6351816,17604120,24507490,21156408,23411672,20800776,1275215,5007925,5958260,5294045,4149713,4974511,4428996,3633042,2852356,2081744,1020541,254211,16559,74,1.73E-06,4
Algeria,DZA,1970,24.34768,Algeria,13795915,567963,2497027,6496998,9048351,6813358,7298916,6357410,515247,1929064,2207572,1792399,1482175,1920222,1456303,1005284,682934,470164,228054,52778,1002,1,1.76E-06,0
Argentina,ARG,1970,278.4355,Argentina,23842804,529160,2501218,7085431,11244245,15195872,16757333,15451244,507344,1972058,2334429,2249784,2150997,3803984,3189360,2918817,2263298,1540321,717010,165253,8293,41,1.17E-05,3
Australia,AUS,1970,290.1954,Australia,12595038,249210,1195435,3624765,5813860,7910085,8970078,8299924,242411,946225,1232366,1196964,1107102,1976787,1522233,1565702,1246416,875337,486418,174105,15978,195,2.30E-05,2
Austria,AUT,1970,107.04365,Austria,7465310,114094,608299,1819277,2829673,4596794,5645975,5342038,120425,494205,641487,569491,501738,1041147,899069,949396,756344,850142,491685,145516,10938,58,1.43E-05,3
Belgium,BEL,1970,309.81564,Belgium,9629376,139773,718658,2273612,3711650,6065464,7355649,6915630,139405,578885,786844,768110,723769,1280709,1230615,1303987,988773,1019171,605065,187840,15720,115,3.22E-05,6
Brazil,BRA,1970,301.26898,Brazil,96369890,3165934,14992457,41103800,59787540,52199090,55265984,48867680,3008602,11826523,13934943,12176402,10320838,15262311,11131416,8251711,5373755,3212316,1395190,305740,12708,98,3.13E-06,0
Bulgaria,BGR,1970,106.039246,Bulgaria,8582960,142891,680469,2000772,3380065,5748219,6581299,6177231,144260,537578,663381,656922,672828,1303819,1224174,1255565,860327,769734,373153,109532,12167,889,1.24E-05,3
Canada,CAN,1970,854.80023,Canada,21434580,359614,1881658,6459690,10393470,13263451,14974380,13695599,359017,1522044,2287584,2290448,2082793,3378941,2564708,2498284,1981284,1359250,774372,301482,33266,510,3.99E-05,1
Chile,CHL,1970,55.66466,Chile,9820483,268698,1307541,3736987,5659196,5703776,6083496,5441538,262542,1038843,1258481,1170965,1043213,1594142,1206811,997909,633735,392292,181715,33250,429,0,5.67E-06,5
China,CHN,1970,332.04553,China,822534460,29501650,135971540,336360580,495089400,455637120,486173730,428918820,28537888,106469880,111428250,88960800,91748900,118642410,95576616,75139576,54512880,34715164,13397072,2363216,77909,136,4.04E-07,0
Colombia,COL,1970,76.955696,Colombia,20905256,719312,3502113,9619862,13802741,10650948,11285364,9820043,701590,2782801,3276693,2841056,2342501,3280332,2121658,1506830,1036560,622807,289895,79956,4825,30,3.68E-06,5
Cyprus,CYP,1970,8.004829,Cyprus,640804,11786,60009,198745,321354,388854,442056,401886,11762,48223,66621,72115,64898,103123,75876,64579,55081,45684,23393,8687,735,3,1.25E-05,3
Czechia,CZE,1970,82.32865,Czechia,9795750,142088,689325,2089579,3792310,6525051,7706122,7213726,137137,547237,686679,713575,835951,1575116,1156616,1336811,1020829,1087905,547137,136615,9142,49,8.40E-06,3
Denmark,DNK,1970,215.59958,Denmark,4922968,70733,389066,1148758,1934135,3168427,3774150,3550713,72246,318333,392452,367240,371920,787397,579351,590124,576302,481846,285583,93541,8086,60,4.38E-05,1
Ecuador,ECU,1970,12.877645,Ecuador,6172219,234120,1068522,2746243,3938349,3185720,3425971,3019026,219847,834402,907126,770595,657298,961023,647886,463301,334070,217294,112334,30813,1952,5,2.09E-06,0
Egypt,EGY,1970,71.66592,Egypt,34781990,1277342,5587845,14435715,21011748,18931902,20346268,18132076,1155142,4310503,4714309,4133561,3536167,5176367,3895341,3231628,2280367,1407404,657410,153061,8524,10,2.06E-06,0
Finland,FIN,1970,126.97794,Finland,4606621,62910,347734,1133934,2007234,3050796,3472666,3217844,67014,284824,384213,401987,426140,766232,568264,573295,486017,406268,194700,48780,2970,21,2.76E-05,6
France,FRA,1970,1116.3308,France,50523588,821415,4101812,12403228,20723958,31590104,38119420,35662144,810475,3280397,4184794,4116622,4138172,7144765,6385221,6647663,4632497,4997429,3013960,1056777,102937,941,2.21E-05,2
Germany,DEU,1970,1644.0702,Germany,78294590,1075086,6015192,18249232,28359804,49360564,60044904,56844856,1152299,4940106,6489933,5744106,5323648,10328077,11311220,9693789,7897771,8996557,4974509,1419420,99913,454,2.10E-05,2
Greece,GRC,1970,79.16741,Greece,8544874,146957,747770,2137172,3279548,5455077,6407039,6021793,149558,600813,700720,688682,605968,1068193,1253480,1158004,930522,798563,415620,153356,23333,663,9.26E-06,3
Hong Kong,HKG,1970,45.737446,Hong Kong,3955076,70992,408023,1455909,2200018,2327690,2499140,2232685,75674,337031,528416,519470,428652,517386,469331,467003,336133,181766,77837,19086,1946,27,1.16E-05,3
Hungary,HUN,1970,70.053635,Hungary,10315367,148084,710704,2148893,3863761,6975255,8166434,7585174,149113,562620,642724,795465,924109,1524898,1377430,1467476,1097273,1057332,564848,144399,8669,40,6.79E-06,5
Iceland,ISL,1970,5.8756347,Iceland,204483,4025,21252,66722,104010,119799,137757,125383,4125,17227,22934,22536,20068,30811,22522,21816,17410,13254,8846,2738,292,4,2.87E-05,6
India,IND,1970,226.89145,India,557501300,19708422,87592480,228814000,332230800,308479500,328686850,292790800,18080588,67884056,74686780,66534736,57818944,83703950,66356270,50898240,36538416,22211184,9230400,1841708,87741,452,4.07E-07,0
Indonesia,IDN,1970,80.99267,Indonesia,115228390,4207486,19226632,49011508,68570500,62645644,66216796,59484532,3943381,15019146,16283755,13501121,10671519,17310828,14841818,10346213,6953667,4272666,1558596,250759,10730,89,7.03E-07,0
Iran,IRN,1970,129.19635,Iran,28449702,1109372,4900400,12503370,17711308,14914532,15946312,14108159,1020626,3791028,4049573,3553397,2961943,4005934,3249204,2573452,1538795,1030767,461272,118635,6310,20,4.54E-06,5
Iraq,IRQ,1970,31.23763,Iraq,9811356,417365,1867749,4257791,6015903,5120340,5553557,4925945,389839,1450384,1428763,961279,993521,1415920,1026210,768402,655499,462381,200081,29841,1702,8,3.18E-06,0
Ireland,IRL,1970,48.426376,Ireland,2937647,62867,309069,911028,1389649,1696546,2026579,1862837,61471,246202,310926,291033,262095,383449,293178,312903,313703,243951,156904,54640,5756,40,1.65E-05,2
Israel,ISR,1970,62.26058,Israel,2907314,73945,337760,940399,1523416,1766810,1966904,1782629,68325,263815,302143,300496,307724,467565,316341,299686,256848,202341,89809,24261,2329,11,2.14E-05,2
Italy,ITA,1970,1024.0592,Italy,53324036,889260,4540075,13171672,20916544,34249440,40151870,37890332,892996,3650815,4552321,4079276,3788228,7416388,7413221,7262893,5540504,5072381,2709414,879980,68863,492,1.92E-05,2
Japan,JPN,1970,2296.7078,Japan,105416840,1877140,8760445,24806994,44732544,73022260,80609170,75455100,1832890,6883305,8187942,7858607,9068499,20408254,16861232,13515624,9371365,6852215,3531022,931678,69277,678,2.18E-05,2
Kuwait,KWT,1970,54.056026,Kuwait,802791,33123,151542,358522,503725,430017,444269,402863,31428,118419,121839,85141,70393,145144,109317,65958,31564,13583,6678,1570,62,0,6.73E-05,4
Lower-middle-income countries,,1970,786.47253,Lower-middle-income countries,1254715300,45462536,202732980,524703400,751743800,682830140,730008450,651417400,41846256,157270430,172293100,149677310,126035510,186543980,149445870,113289910,78647230,49711440,21323720,4711326,299454,3483,6.27E-07,0
Luxembourg,LUX,1970,16.02329,Luxembourg,339354,4439,23935,75402,122285,221567,263951,249091,4591,19496,25980,25487,24249,45038,47476,46426,38278,37070,19566,5429,419,1,4.72E-05,1
Malaysia,MYS,1970,40.44124,Malaysia,10306509,331454,1608557,4600252,6655439,5442327,5706256,4967574,323239,1277103,1571290,1420405,1182923,1549179,1126187,799126,572314,334894,115434,24748,1451,1,3.92E-06,5
Mexico,MEX,1970,247.47472,Mexico,50289304,2068883,9484354,23857918,33526480,24893498,26431046,23083592,1955543,7415471,7861993,6511571,5353910,7726396,5031410,3610157,2313694,1495491,688645,190148,21195,340,4.92E-06,5
Morocco,MAR,1970,22.55748,Morocco,15274357,615903,2766147,7142819,9890709,7654394,8131531,7130067,567133,2150244,2368183,2008489,1593212,2108481,1769844,1301918,625969,479127,215847,35440,1693,7,1.48E-06,0
Netherlands,NLD,1970,429.0313,Netherlands,13037686,240577,1189347,3558433,5854777,8152670,9479092,8810060,239281,948770,1214306,1154780,1111948,2099560,1585660,1509172,1277124,1048950,620974,206790,18914,161,3.29E-05,6
New Zealand,NZL,1970,47.609863,New Zealand,2824068,61569,297734,901031,1387144,1681452,1922981,1763131,60260,236165,308967,294330,259593,410408,312487,317450,269769,199795,107462,41612,4405,56,1.69E-05,2
Norway,NOR,1970,97.02358,Norway,3875550,65629,329661,949005,1565181,2428145,2926450,2743374,66891,264032,311277,308067,301713,567299,402578,476785,475431,380427,237092,76842,8283,95,2.50E-05,2
Oman,OMN,1970,0.9359056,Oman,670697,29555,127048,303944,421399,342962,366753,326988,26621,97493,98527,78369,63688,102231,72545,52122,38219,24752,10854,2217,125,0,1.40E-06,0
Pakistan,PAK,1970,54.475094,Pakistan,59290870,2310874,10258188,25881778,36346310,31445392,33409080,29862150,2106668,7947314,8548466,7075124,5626232,9239926,6898450,5030813,3477077,2024169,878024,220548,13840,16,9.19E-07,0
Peru,PER,1970,56.897602,Peru,13562372,526456,2359578,5978848,8534920,7047101,7583402,6719529,488454,1833122,1964189,1655081,1393631,2088388,1495552,1055564,730808,492653,246224,71848,8734,122,4.20E-06,5
Philippines,PHL,1970,85.07676,Philippines,37435588,1435449,6691377,17533268,24793822,18886920,19901900,17338834,1366556,5255928,5880433,4961458,4088787,5690453,3940551,2747130,1820647,1008687,407545,164388,33712,422,2.27E-06,0
