Entity,Code,Year,Oil consumption - TWh,Country name,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years,Oil consumption per capita - TWh,Cluster
North Macedonia,MKD,1991,11.406301,North Macedonia,2036691,33233,170717,515739,807849,1362565,1520934,1431630,33388,137484,181682,163340,146537,307766,345753,270117,208827,145155,69161,25867,1751,18,5.60E-06,3
Norway,NOR,1991,96.916115,Norway,4261886,60661,289020,809883,1452829,2757756,3451695,3275303,60085,228359,258544,262319,305960,665365,627113,581269,384686,398004,328441,141434,19423,308,2.27E-05,6
Oman,OMN,1991,35.977516,Oman,1895193,63596,309374,813499,1162532,1035451,1081693,968927,62603,245778,279384,224741,183818,320775,263394,159418,82672,44245,21341,5700,330,1,1.90E-05,6
Pakistan,PAK,1991,134.32481,Pakistan,119203576,4670482,21126102,52326136,73900750,62762410,66877144,59724944,4357376,16455620,17346572,13853462,11557619,19014318,13982485,9410125,6505411,4024047,1910076,447264,25801,293,1.13E-06,3
Peru,PER,1991,64.45393,Peru,22583004,653407,3162636,8805347,13430485,12950295,13777531,12258999,639723,2509229,2933746,2708965,2477181,3971534,2856352,1904495,1292865,783702,381113,102148,8141,126,2.85E-06,3
Philippines,PHL,1991,135.19771,Philippines,63039750,1995072,9397989,25416478,38032972,35521548,37622884,33521646,1910497,7402917,8387601,7630888,6700734,11014373,8050851,5156006,3443366,1985080,953283,287108,32083,392,2.14E-06,3
Poland,POL,1991,179.19951,Poland,38167388,538361,2789215,9385794,14831916,24860268,28780754,26948432,545115,2250854,3351087,3245492,2956537,5068779,6433520,4696963,3842840,3381738,1617433,720501,62443,841,4.70E-06,3
Portugal,PRT,1991,141.91238,Portugal,9986418,113740,556653,1966526,3589036,6622444,8019587,7505127,110978,442913,640696,769177,847651,1513352,1374433,1224217,1125038,1016884,629606,263360,25046,305,1.42E-05,0
Qatar,QAT,1991,11.8423195,Qatar,456495,10165,49031,123461,199459,327853,333034,313026,9980,38866,40435,33995,34361,94097,113099,59718,22065,7014,2085,539,56,0,2.59E-05,2
Romania,ROU,1991,182.63083,Romania,22842488,278454,1671160,5252436,9185224,15138385,17590030,16400364,321778,1392706,1652126,1929150,1897251,3333664,3299680,2667661,2719240,2222404,1012564,411199,26367,21,8.00E-06,0
Russia,RUS,1991,2908.4788,Russia,148455410,1873746,11004034,33842868,53724644,99309850,114606640,108329760,2043222,9130288,11978675,10860160,10371905,20653748,25282288,16087405,18126636,14673951,6508525,2671279,230904,5896,1.96E-05,6
Saudi Arabia,SAU,1991,638.3373,Saudi Arabia,16654283,542460,2608468,6833630,10046941,9392198,9820634,8826793,530913,2066008,2300835,1924327,1648709,3036340,2415362,1366177,699241,397936,199916,54021,2932,19,3.83E-05,2
Singapore,SGP,1991,277.38525,Singapore,3120627,55151,244700,669616,1222281,2275383,2450976,2310250,50196,189549,216863,208053,245423,657953,659196,393022,232555,151928,80940,27997,1962,35,8.89E-05,1
Slovakia,SVK,1991,51.29262,Slovakia,5280230,77603,397944,1310870,2129876,3425409,3969315,3690353,77508,320341,441045,471881,446811,761896,839688,646267,493410,454812,224628,94323,7480,45,9.71E-06,0
Slovenia,SVN,1991,19.498434,Slovenia,1989799,22092,120242,405904,700122,1365146,1583878,1494963,22908,98150,135179,150483,147019,304685,322331,260847,226986,185017,89119,44007,3867,17,9.80E-06,0
South Africa,ZAF,1991,201.7545,South Africa,40910964,1190703,6153810,15860281,23827620,23467986,25050384,23053160,1205811,4963107,5595318,4111153,3555334,8091133,4990110,3863326,2171550,1425798,717118,214472,21542,299,4.93E-06,3
South Korea,KOR,1991,717.3476,South Korea,44487412,692611,3384518,11257841,20278286,30983786,33228948,30650152,681867,2691907,3772884,4100439,4436285,8992398,7810212,4795147,3753850,2118943,1016592,276802,28720,621,1.61E-05,6
Spain,ESP,1991,568.6487,Spain,38997064,392274,2008725,7461739,14058686,26079604,31533232,29517364,393197,1616451,2404909,3048105,3346952,6379297,5417556,4646930,4176873,3957499,2412301,1073227,122597,2095,1.46E-05,0
Sri Lanka,LKA,1991,20.604216,Sri Lanka,17416596,349228,1727751,5488687,8869831,10844923,11927688,10887176,346276,1378523,1840907,1920029,1720103,3174994,2461394,1777858,1219505,893718,493528,168081,18507,220,1.18E-06,3
Sweden,SWE,1991,196.22267,Sweden,8594170,122347,573254,1555308,2704489,5510114,7038262,6712459,119907,450907,490765,491289,554598,1215107,1156690,1273056,889472,857217,718368,331894,41860,600,2.28E-05,6
Switzerland,CHE,1991,156.95247,Switzerland,6795392,84287,402874,1169140,2086016,4637585,5625911,5387639,81898,318587,386681,379585,414627,1074903,1057916,995197,765552,626613,438555,223850,28698,341,2.31E-05,6
Taiwan,TWN,1991,337.32336,Taiwan,20770622,318852,1573452,5472130,9297529,13975927,15298278,14157485,301654,1254600,1850008,2048670,1867893,3992682,3673441,2127241,1597238,1289701,611827,125267,12988,214,1.62E-05,6
Thailand,THA,1991,249.01418,Thailand,56099870,1059009,5270611,16376987,28048764,37266212,39716936,36277052,1046650,4211602,5515157,5591219,5784183,11447125,8939577,5661143,4041813,2355325,1053091,364301,70376,5950,4.44E-06,3
Trinidad and Tobago,TTO,1991,13.957406,Trinidad and Tobago,1276232,24854,136597,428907,651258,784316,847300,775774,25855,111743,154621,137689,117617,223447,206449,130692,76408,53753,28821,8963,1150,25,1.09E-05,0
Turkey,TUR,1991,267.47232,Turkey,55321172,1348130,6644769,19489608,30789702,33189780,35830256,32265838,1329771,5296639,6517111,6327729,5842718,10255821,7210944,4971710,3572212,2341551,1186077,399392,49831,1306,4.83E-06,3
Turkmenistan,TKM,1991,61.305946,Turkmenistan,3821784,123161,600141,1541740,2280567,2138244,2279905,2043015,122350,476980,512082,429517,386302,686302,514965,242976,217274,149690,59905,20222,2269,139,1.60E-05,6
Ukraine,UKR,1991,739.8972,Ukraine,51672816,640322,3539710,10990469,18018872,34257070,40679332,38482630,670532,2899388,3841892,3608867,3668576,6995541,7747375,5859552,6737631,5732249,2683636,1150615,104158,3013,1.43E-05,0
United Arab Emirates,ARE,1991,222.32744,United Arab Emirates,2008390,45148,221154,581002,961280,1406816,1427386,1333829,44587,176006,198844,161004,163773,452213,473444,232209,71378,22528,9102,2526,213,2,0.000110699,5
United Kingdom,GBR,1991,996.0562,United Kingdom,57359452,784641,3863049,10996995,19131798,37322756,46358012,44257210,777058,3078408,3653729,3480217,3694471,9121365,7985027,7625890,6011160,5679729,4125135,1872908,242327,4444,1.74E-05,6
United States,USA,1991,9108.509,United States,251560200,3972695,18968084,54547948,91422824,166002660,196981230,186755920,3870396,14995389,17914008,17665856,17534976,40150570,42950356,31793146,22498044,20906372,14186788,5961632,999351,31009,3.62E-05,2
Uzbekistan,UZB,1991,126.03582,Uzbekistan,21074308,674660,3211415,8465609,12520972,11821420,12608661,11278809,646107,2536755,2825738,2428456,2159902,3691320,2690616,1394846,1315976,920690,307324,115459,12528,39,5.98E-06,3
Venezuela,VEN,1991,232.81888,Venezuela,20226212,558118,2740857,7622198,11625855,11797948,12603925,11314957,553670,2182739,2534077,2347264,2100444,3620256,2756369,1736812,1156731,754321,373232,99357,6403,89,1.15E-05,0
Vietnam,VNM,1991,34.17047,Vietnam,68358824,1844494,9118764,25945640,38920040,38555370,42412596,38032664,1830613,7274270,8848052,7978824,7099992,11425176,9399182,5060571,3915427,3048101,1781972,619798,62379,583,5.00E-07,3
Algeria,DZA,1992,111.292656,Algeria,26748302,762378,3825153,11186604,16725560,14710928,15561647,13741379,752708,3062775,3918915,3442536,2968456,4759649,3277084,1935134,1291616,822627,384486,114462,8133,51,4.16E-06,2
Argentina,ARG,1992,252.70636,Argentina,33568280,710351,3461363,10061417,15676161,20491028,23506238,21640296,702118,2751012,3313197,3286857,3020776,4990849,4440113,3803229,2948305,2389094,1403260,461290,49322,627,7.53E-06,5
Australia,AUS,1992,370.54694,Australia,17462500,258441.98,1282811,3810732,6555992,11653619,13650670,12881434,258785,1024369,1276579,1251342,1323183,2802425,2797341,2394245,1609544,1404391,921444,351981,46116,1098,2.12E-05,3
Austria,AUT,1992,135.2269,Austria,7840816,94493,465358,1387171,2493973,5284266,6453388,6174609,94086,370865,463118,458695,483347,1325390,1202171,993038,888560,774323,496810,262305,27444,257,1.72E-05,0
Azerbaijan,AZE,1992,94.319466,Azerbaijan,7643343,192655,976408,2651832,4004267,4639554,4991503,4580554,191687,783753,916358,759066,676040,1402721,1204268,500658,610552,399666,139546,53464,4588,8,1.23E-05,0
Bangladesh,BGD,1992,23.004263,Bangladesh,111272104,3380165,16454513,46654030,68721144,60732896,64618064,57220844,3291470,13074348,15917945,14281575,11986842,18288116,13433386,8889598,6029307,3711113,1830000,430587,19114,10,2.07E-07,2
Belarus,BLR,1992,226.37694,Belarus,10475912,132618,746640,2389450,3837251,6903494,8086300,7637117,139283,614022,845995,796815,737968,1483728,1707619,1143343,1212431,1112203,468219,203937,16852,162,2.16E-05,3
Belgium,BEL,1992,305.2735,Belgium,10016455,124392,612255,1816683,3151415,6660872,8199249,7837025,124698,487863,590251,614177,622172,1503127,1549327,1330656,1088357,1086915,653671,323881,41143,523,3.05E-05,4
Brazil,BRA,1992,723.3313,Brazil,155900780,3531461,17805078,53486664,83435816,95149330,102413816,92835720,3528767,14273617,18248610,17432978,15655491,27865072,22385424,15068415,10299174,6841763,3312821,927956,57699,309,4.64E-06,2
Bulgaria,BGR,1992,71.27456,Bulgaria,8668545,91684,519041,1688787,2934868,5707358,6979514,6588314,98350,427357,564035,605711,640763,1168060,1190725,1178687,1029802,947476,570016,234976,19009,244,8.22E-06,5
Canada,CAN,1992,936.4967,Canada,28347644,401125,1989735,5866826,9862003,19209636,22477940,21323542,407549,1588610,1946531,1930560,1928477,4493775,5017822,3936971,2631145,2292322,1503957,582381,91090,2877,3.30E-05,4
Chile,CHL,1992,95.84964,Chile,13782300,289651,1438690,4061905,6572689,8842836,9720394,8965530,291635,1149039,1344170,1279045,1257013,2466604,2095838,1498863,1056587,838305,392757,109134,5293,1,6.95E-06,5
China,CHN,1992,1495.9119,China,1183813400,21178770,122873900,337674940,578861100,780862400,846137200,784656900,24360102,101695130,114123470,100677570,110157920,255108640,169950160,124213480,87011064,61075660,30311576,7805936,502745,1266,1.26E-06,2
Colombia,COL,1992,124.484375,Colombia,33939044,878479,4290481,12137131,18837346,20445476,21801820,19708520,868213,3412002,4052860,3793790,3428260,6430551,4967283,3055728,1875420,1216038,624965,191213,12362,93,3.67E-06,2
Croatia,HRV,1992,38.496254,Croatia,4798318,49789,272971,919460,1561950,3271440,3878805,3681434,53500,223182,311073,335416,327749,655395,749217,630335,613849,527479,252034,112998,9749,53,8.02E-06,5
Cyprus,CYP,1992,21.831388,Cyprus,810435,14155,69341,198783,331605,531976,611642,576379,13851,55186,67091,62351,60664,141857,125715,100678,73137,55886,36688,14919,2098,10,2.69E-05,3
Czechia,CZE,1992,80.68122,Czechia,10310956,124389,636579,2094911,3708740,6900234,8215929,7664932,127950,512190,666382,791950,901840,1409621,1432365,1577333,1051967,1021706,556191,247086,17820,116,7.82E-06,5
Denmark,DNK,1992,108.11384,Denmark,5175466,66090,312250,878610,1609324,3491568,4296474,4090314,64211,246160,272137,294223,352931,800694,748451,785995,562629,474647,372371,174371,24385,382,2.09E-05,3
Ecuador,ECU,1992,71.04642,Ecuador,10914222,305397,1484143,4149971,6350464,6309181,6764224,6053728,300054,1178746,1388513,1277315,1160604,1947939,1417594,955981,605932,393969,213255,63773,5177,27,6.51E-06,5
Egypt,EGY,1992,259.8219,Egypt,59989148,1806169,8872855,24420310,35766710,32999828,35568736,31804464,1761584,7066686,8322509,7224946,6063692,9987242,7436689,4926364,3212122,2424239,1187958,308009,22422,100,4.33E-06,2
Estonia,EST,1992,19.574043,Estonia,1540386,18357,108824,335987,547915,1016171,1204354,1139924,20274,90467,117011,110152,106723,209646,231177,191014,189468,158312,76957,37202,3855,45,1.27E-05,0
Finland,FIN,1992,131.24066,Finland,5042120,65818,321239,966925,1606468,3385024,4075039,3878847,65420,255421,321498,324188,313397,701437,781749,791845,542736,480471,311467,137645,14292,156,2.60E-05,3
France,FRA,1992,1139.4677,France,56864050,719061,3671344,11304258,19551128,37281296,45555376,43272064,728173,2952283,3755277,3877637,3999024,8471000,8444587,7747731,5686671,5609715,3361632,1951361,283654,4415,2.00E-05,3
Germany,DEU,1992,1621.655,Germany,80205020,825241,4437010,13107032,23172744,55043510,67094920,64658844,872770,3611769,4362421,4307601,4170513,13018874,12401539,10007764,11130088,8105275,5157730,2805292,297844,3077,2.02E-05,3
Greece,GRC,1992,194.52258,Greece,10478389,113941,545741,1911868,3500427,7051128,8565467,8101244,108165,431800,619422,746705,773770,1610545,1454240,1306482,1266122,1151850,652372,308978,41108,1054,1.86E-05,0
Hong Kong,HKG,1992,96.86926,Hong Kong,6007690,73775,375951,1217204,2158197,4239876,4790124,4532565,73748,302176,407245,434008,443354,1099246,1200131,734179,512363,455947,237120,92854,14930,362,1.61E-05,0
Hungary,HUN,1992,98.91989,Hungary,10370067,122819,614695,1996404,3568177,6950957,8373487,7832542,124588,491876,627983,753726,854238,1339224,1535062,1449596,1198153,1098226,616086,260993,21909,176,9.54E-06,5
Iceland,ISL,1992,7.940361,Iceland,261275,4596,22873,64849,106622,168209,196397,184002,4673,18277,20418,21558,21208,42548,41215,31835,20910,19383,12717,5593,988,29,3.04E-05,4
India,IND,1992,744.1866,India,907574100,26314278,124470910,340506980,514875500,529565820,567061950,510669600,25134146,98156640,114047810,101988264,92206950,155324850,121674940,81600160,57541348,36900240,17046860,4405840,360742,5126,8.20E-07,2
Indonesia,IDN,1992,420.5104,Indonesia,188558420,4466627,21841486,65391640,103996390,115250270,123166500,110922550,4374346,17374860,21927524,21622632,20108980,35010104,25133320,16641035,13470584,8342343,3567394,848583,44153,287,2.23E-06,2
Iran,IRN,1992,630.6393,Iran,59372016,1684275,8693075,25231824,36097984,32116828,34140156,30553468,1719262,7008800,9039240,7499510,5746327,9701252,7609348,4746459,3139640,2091001,887831,206911,11386,34,1.06E-05,5
Iraq,IRQ,1992,201.08778,Iraq,18385682,687721,3155375,8185889,12060773,9544136,10199766,8912706,658087,2467654,2679995,2350519,2091985,3208513,1773763,1287300,871041,553046,315211,92690,6217,26,1.09E-05,5
Ireland,IRL,1992,61.681023,Ireland,3528370,50952,264694,918738,1527119,2204008,2609513,2406513,52681,213742,305678,348366,331680,518866,489960,433995,298105,258834,193642,75667,8764,119,1.75E-05,0
Israel,ISR,1992,116.151215,Israel,5079388,106106,529328,1523175,2424669,3058715,3556047,3260082,108359,423222,507873,485974,483223,774764,688850,581819,361140,332496,222020,100008,11727,166,2.29E-05,3
Italy,ITA,1992,1150.3917,Italy,56833184,540643,2649407,8685753,17343704,39226664,48144652,45761532,519456,2108764,2784006,3252340,4123372,9227244,8021704,7472159,7070562,6325875,3836178,1860868,206691,2780,2.02E-05,3
Japan,JPN,1992,3063.816,Japan,124444696,1201342,6159110,20891222,40082900,86862610,103546350,97979110,1194647,4957768,6907626,7824486,9666701,17790172,15985439,19842190,16481220,12911808,7351925,3109793,407099,7126,2.46E-05,3
Kazakhstan,KAZ,1992,241.58838,Kazakhstan,17043420,360487,1906284,5366383,8276542,10696255,11676959,10744846,372019,1545797,1842847,1617252,1530529,2787296,2725421,1606945,1480873,995031,388335,152271,10258,78,1.42E-05,0
Kuwait,KWT,1992,56.785267,Kuwait,1620639,32638,167117,587031,869259,1004086,1033607,919334,32770,134479,198673,221241,170963,217963,270563,214745,104265,40444,12125,2307,232,1,3.50E-05,4
Latvia,LVA,1992,29.106192,Latvia,2662885,32285,187518,563075,932079,1763316,2099717,1994828,35709,155233,201156,174401,179472,379768,394266,323717,334873,274920,135526,69186,7989,93,1.09E-05,5
Lithuania,LTU,1992,51.277847,Lithuania,3795748,55314,288015,851050,1406217,2511292,2944421,2783274,56550,232701,294374,268661,272241,581028,574783,449411,434433,359751,167712,92138,12924,277,1.35E-05,0
Lower-middle-income countries,,1992,3202.893,Lower-middle-income countries,2105704000,63113896,299235620,820006800,1224780500,1198782200,1285686500,1153214700,60553596,236121730,275466140,245305060,215631840,355732800,270594370,178825280,129449710,84854056,39177940,10602039,818425,10711,1.52E-06,2
Luxembourg,LUX,1992,22.93275,Luxembourg,391524,5086,25166,69775,118821,269140,321740,309128,5189,20080,22559,22050,21480,61320,65873,54160,44415,39353,23195,10815,1129,9,5.86E-05,6
Malaysia,MYS,1992,181.0182,Malaysia,18526708,504851,2412011,6644387,10134155,11181939,11882062,10786150,490544,1907160,2248459,1983917,1802208,3359119,2856539,1687918,1099164,661810,320289,87518,7497,258,9.77E-06,5
Mexico,MEX,1992,954.6505,Mexico,84993160,2332139,11276243,32164884,50310780,49227504,52819290,46871790,2285745,8944104,10647882,10240759,9724967,15436713,10721021,6970569,4685624,2979231,1525316,634913,140933,8993,1.12E-05,5
Morocco,MAR,1992,77.84268,Morocco,25400676,692476,3378135,10023956,15238853,14539121,15376688,13640837,676851,2685659,3440957,3204864,2814635,4439746,3203582,2002075,1489284,1001635,339782,80085,5864,31,3.06E-06,2
Netherlands,NLD,1992,431.89185,Netherlands,15150688,196832,967433,2776975,4998097,10402401,12372780,11817113,197674,770601,904328,905214,972994,2549325,2433493,2210723,1548238,1309187,900088,393513,55219,933,2.85E-05,4
New Zealand,NZL,1992,53.34146,New Zealand,3532568,59526,292390,815211,1386766,2318073,2717140,2554148,60050,232864,263232,259589,280388,570494,551564,451058,319578,277326,185049,72247,9436,217,1.51E-05,0
North Macedonia,MKD,1992,12.286932,North Macedonia,2018024,31641,164322,506454,793301,1348716,1511552,1422344,32508.998,132681,177261,164871,145774,295703,341938,273764,207497,148019,70184,26895,1778,18,6.09E-06,5
Norway,NOR,1992,99.8434,Norway,4286560,60309,296511,819388,1450129,2771111,3466836,3298492,61017,236202,261122,261755,294140,670539,631292,596260,388943,389045,331846,144600,20171,336,2.33E-05,3
Oman,OMN,1992,33.162346,Oman,1985234,62943,310469,833091,1199104,1104517,1152142,1034954,62563,247526,285467,237155,191836,337983,284332,175339,88537,45892,21905,5965,353,1,1.67E-05,0
Pakistan,PAK,1992,146.81076,Pakistan,122375176,4743851,21639734,54094170,76062300,64052620,68280810,60930284,4444350,16895884,17985812,14468624,11851945,19172738,14394605,9588337,6690738,4130329,1965598,461809,24709,200,1.20E-06,2
Peru,PER,1992,67.45526,Peru,23047250,650587,3173279,8897009,13619626,13293804,14150137,12608469,640480,2522692,2975867,2747863,2518720,4071644,2936291,1975612,1325915,812025,395446,106631,7853,105,2.93E-06,2
Philippines,PHL,1992,153.03091,Philippines,64543524,2026495,9557365,25860036,38740880,36518150,38683030,34483584,1949610,7530870,8520505,7782166,6824143,11281536,8326596,5362712,3532778,2045337,976097,300792,33040,459,2.37E-06,2
Poland,POL,1992,163.77092,Poland,38252284,522966.97,2716263,9263487,14845678,24998578,28987996,27115180,537652,2193296,3279725,3267499,3032371,5062067,6311930,4960772,3750300,3430530,1640150,734143,65732,800,4.28E-06,2
Portugal,PRT,1992,156.40855,Portugal,9978745,113785,550945,1899924,3526805,6649552,8078486,7568063,111077,437160,610152,738827,844511,1518725,1381589,1248417,1113984,1029278,641671,273380,26931,335,1.57E-05,0
Qatar,QAT,1992,13.669466,Qatar,471299,10216,49638,126435,203940,339369,344864,324726,10065,39422,42082,34715,34633,96340,116911,63421,23247,7473,2222,559,58,0,2.90E-05,4
Romania,ROU,1992,149.54388,Romania,22800964,262443,1575939,5109921,9063226,15188985,17691032,16486686,275372,1313496,1669474,1864508,1934617,3393429,3240746,2735519,2651514,2254200,1033596,420435,26976,12,6.56E-06,5
Russia,RUS,1992,2777.474,Russia,148725600,1696687,10245982,33506476,53645252,99230160,115213650,108833330,1872263,8549295,12223508,11036985,10480586,20166296,25380678,16845382,17799996,15090556,6398022,2810949,241177,5485,1.87E-05,0
Saudi Arabia,SAU,1992,618.3813,Saudi Arabia,17281352,541407,2637551,7029367,10320178,9808495,10251964,9235467,532684,2096144,2374153,2017663,1680882,3131789,2556255,1472107,733487,410425,207078,56776,3165,21,3.58E-05,4
Singapore,SGP,1992,287.14056,Singapore,3228234,56422,255555,689951,1233055,2355470,2538243,2398055,54103,199133,222537,211859,243493,648606,691683,435036,244855,159670,82613,30157,2130,40,8.89E-05,1
Slovakia,SVK,1992,46.662636,Slovakia,5301897,75737,391215,1292151,2131578,3457817,4009700,3726495,77511,315478,434624,466312,460046,764383,830956,673989,491361,451057,233572,96517,7819,46,8.80E-06,5
Slovenia,SVN,1992,18.924423,Slovenia,1991344,21458,115975,397173,690195,1370319,1594153,1504319,21977,94517,131969,149229,148377,301975,320797,267020,226905,189087,90871,45027,4094,18,9.50E-06,5
South Africa,ZAF,1992,208.36372,South Africa,41760756,1172130,6056931,16312861,24105352,23818106,25447584,23456334,1178037,4884801,5803890,4452040,3441993,8245712,5113493,3966936,2247475,1452577,734995,221595,22808,312,4.99E-06,2
South Korea,KOR,1992,868.07513,South Korea,44703708,700246,3374322,11068184,19954544,31301368,33634772,31185166,685400,2674076,3548450,4145412,4272921,8917704,8098054,4878800,3875469,2202172,1065829,293979,29843,752,1.94E-05,3
Spain,ESP,1992,637.358,Spain,39202250,393900,1988739,7231613,13866521,26369964,31968528,29953532,392251,1594839,2305920,2936954,3356519,6470732,5544798,4747979,4108109,4015311,2483205,1109440,132435,2106,1.63E-05,0
Sri Lanka,LKA,1992,23.416904,Sri Lanka,17624462,351586,1728540,5469751,8868903,11035360,12154446,11097153,347625,1376954,1795851,1945360,1737388,3199820,2522700,1829452,1249103,909550,510049,176156,20228,265,1.33E-06,2
Sweden,SWE,1992,206.68947,Sweden,8640277,121639,591168,1583005,2707665,5524557,7056654,6742895,123072,469529,502345,489492,540180,1220954,1156383,1280219,909861,840910,724114,340086,43947,618,2.39E-05,3
Switzerland,CHE,1992,159.13806,Switzerland,6873188,85532,414480,1192144,2089225,4681181,5680679,5446186,84201,328948,392262,385402,404752,1076004,1089333,1003363,776632,627976,443228,228550,30841,365,2.32E-05,3
Taiwan,TWN,1992,350.88788,Taiwan,20952226,324630,1565719,5389698,9203246,14169637,15562275,14385780,317611,1241089,1787980,2035999,1905822,3939969,3738193,2263589,1606028,1313178,637340,144138,14018,254.00002,1.67E-05,0
Thailand,THA,1992,276.79462,Thailand,56939020,1022587,5205157,16211480,27655560,38154430,40721284,37395404,1038662,4182570,5462438,5543885,5610779,11505808,9398068,5984787,4199938,2475529,1096383,376186,73804,6258,4.86E-06,2
Trinidad and Tobago,TTO,1992,19.86267,Trinidad and Tobago,1285506,23944,129800,425234,649860,796332,860247,787580,24610,105856,152846,142588,119306,219965,211813,137097,78261,54214,29306,9093,1192,25,1.55E-05,0
Turkey,TUR,1992,282.56644,Turkey,56302040,1342414,6629707,19546904,31039052,34035292,36753844,33126364,1324579,5287293,6535479,6381718,5940341,10484474,7510345,5077087,3651666,2411411,1220875,406653,50992,1290,5.02E-06,2
Turkmenistan,TKM,1992,59.06321,Turkmenistan,3926374,122951,603240,1578502,2333092,2200176,2347763,2105865,120572,480289,534304,440958,394782,694869,543070,260134,216577,154973,60681,20466,2211,109,1.50E-05,0
Ukraine,UKR,1992,474.0513,Ukraine,51785150,611523,3397916,10933452,18019724,34256890,40848908,38657572,642396,2786393,3907081,3628455,3653420,6966361,7809776,5976745,6737522,5753693,2660020,1185911,105459,2793,9.15E-06,5
United Arab Emirates,ARE,1992,223.88316,United Arab Emirates,2116235,45070,222205,596338,993210,1498352,1519895,1425053,44686,177135,206274,167859,166226,486577,501080,254002,75984,23724,9432,2645,225,2,0.000105793,1
United Kingdom,GBR,1992,1007.1834,United Kingdom,57509240,776553,3879263,11115511,18981032,37314350,46389000,44366720,782699,3102710,3694008,3542240,3519176,9032086,8140077,7726314,6031580,5601968,4172512,1909473,255812,4732,1.75E-05,0
United States,USA,1992,9297.387,United States,255175330,3962488,19313424,55607828,92362210,167933820,199535150,189222960,3945472,15350935,18150758,18143646,17420970,39827750,43470532,33395926,22848744,20968708,14382394,6176434,1043686,32362.998,3.64E-05,4
Uzbekistan,UZB,1992,100.93168,Uzbekistan,21588150,677056,3240650,8653104,12789942,12102315,12935011,11575992,661934,2563594,2928991,2483463,2209273,3735008,2808618,1474095,1304797,960551,316653,113205,12811,35,4.68E-06,2
Venezuela,VEN,1992,277.84363,Venezuela,20700462,559301,2759907,7724036,11805136,12134443,12976336,11657558,555962,2200606,2576553,2387576,2147143,3686481,2852801,1814181,1192341,780752,391526,104510,6601,90,1.34E-05,0
Vietnam,VNM,1992,37.35379,Vietnam,69788750,1827762,9102739,26200188,39571170,39639780,43587916,39128252,1830030,7274977,8928353,8169095,7285388,11683841,9680632,5380916,3890544,3127117,1828008,643565,67906,646,5.35E-07,2
Algeria,DZA,1993,110.754875,Algeria,27354326,759287,3792309,11291154,16963568,15182960,16063112,14212761,755654,3033022,3929491,3569354,3028388,4898472,3401228,2043214,1314243,855188,395275,118113,8991,60,4.05E-06,0
Argentina,ARG,1993,247.78004,Argentina,34027240,716148,3496863,10120238,15882575,20804280,23906288,21998524,707665,2780715,3329510,3293865,3099473,5077280,4478826,3870721,2989068,2412105,1441563,484318,52934,715,7.28E-06,4
Australia,AUS,1993,382.0519,Australia,17631514,258112,1290685,3831644,6558645,11752110,13798706,13042011,258453,1032573,1277701,1263258,1292814,2799153,2829771,2461825,1651114,1399990,945925,369620,48494,1163,2.17E-05,6
Austria,AUT,1993,136.3634,Austria,7905280,94656,472074,1406188,2480374,5319527,6498816,6226071,95575,377418,463697,470417,472306,1306956,1249493,998969,906157,762117,505489,268267,29062,276,1.72E-05,1
Azerbaijan,AZE,1993,94.055405,Azerbaijan,7740112,185248,952961,2683385,4028375,4687347,5056720,4640875,186682,767713,942975,787449,680553,1374160,1265216,541177,579962,416332,141561,53430,4329,7,1.22E-05,4
Bangladesh,BGD,1993,25.769167,Bangladesh,113418760,3358227,16342437,46961556,69694070,62491460,66457190,58849010,3248617,12984210,15975271,14643849,12284442,18960054,13759373,9173037,6160347,3789080,1865308,445323,20226,13,2.27E-07,0
Belarus,BLR,1993,174.43303,Belarus,10480485,125025,705901,2360442,3823621,6895169,8119884,7662951,131802,580876,843872,810669,747814,1456330,1723313,1200212,1165484,1119664,484543,205019,17505,159,1.66E-05,1
Belgium,BEL,1993,300.30597,Belgium,10043738,121654,615682,1819972,3134413,6662600,8223212,7860726,124989,494028,591087,613203,612138,1478409,1563998,1364819,1075760,1084920,669639,330507,43022,554,2.99E-05,3
Brazil,BRA,1993,753.877,Brazil,158440860,3510395,17639554,53536730,83984616,97355940,104903810,95111570,3490078,14129159,18184684,17712488,15958475,28155580,23049330,15649266,10573236,7048180,3442144,966963,60632,336,4.76E-06,0
Bulgaria,BGR,1993,77.61299,Bulgaria,8611541,86447,491394,1637238,2883213,5684579,6974068,6589882,90637,404947,555959,589885,642765,1163496,1177623,1188755,1010331,950675,579295,241034,20094,235,9.01E-06,4
Canada,CAN,1993,948.57947,Canada,28668168,392998,2007755,5921522,9904381,19399872,22743684,21584604,403404,1614757,1956395,1957372,1937118,4384228,5097962,4071264,2701567,2304928,1544905,606426,95286,2961,3.31E-05,3
